Name,Platform,DOIs,"Pub Dates",Citations,Code,Description,License,Categories
CellChat,R/C++,"10.1038/s41467-021-21246-9, 10.1101/2020.07.21.214387, 10.1101/2023.11.05.565674","2021-02-17, NA, NA",3889,https://github.com/jinworks/CellChat,"Inference and analysis of cell-cell communication",GPL-3.0,"Gene Networks, Visualisation"
inferCNV,R,10.1126/science.1254257,2014-06-12,3813,https://github.com/broadinstitute/inferCNV,"Infer Copy Number Variation using Single-cell RNA-Seq Expression Data.",'-,"Variants, Visualisation"
velocyto,Python/R,"10.1038/s41586-018-0414-6, 10.1101/206052","2018-08-08, NA",3192,https://github.com/velocyto-team/velocyto.R,"velocyto (velox + κύτος, quick cell) is a package for the analysis of expression dynamics single cell RNA seq data, in particuar it allows the estimation of the RNA velocity of single cells.",'-,"Alternative Splicing, Ordering, Visualisation"
scvi-tools,Python,"10.1016/j.crmeth.2022.100182, 10.1038/s41587-021-01206-w, 10.1038/s41592-018-0229-2, 10.1038/s41592-020-01050-x, 10.1073/pnas.2209124120, 10.1093/bioinformatics/btaa169, 10.1101/2020.05.08.083337, 10.1101/2021.04.28.441833, 10.1101/2021.08.20.457057, 10.1101/2022.05.27.493625, 10.1101/292037, 10.1101/532895, 10.1101/737601, 10.1101/794289, 10.1101/794875, 10.15252/msb.20209620, arxiv/1905.02269","2022-03, 2022-02-07, 2018-11-30, 2021-02-15, 2023-05-16, 2020-03-16, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2021-01-25, NA",3067,https://github.com/YosefLab/scvi-tools,"scvi-tools (single-cell variational inference tools) is a package for probabilistic modeling of single-cell omics data, built on top of PyTorch and Anndata",BSD-3-Clause,"Classification, Differential Expression, Dimensionality Reduction, Imputation, Integration, Normalisation, Quality Control"
SingleR,R,"10.1038/s41590-018-0276-y, 10.1101/284604","2019-01-14, NA",3040,https://github.com/dviraran/SingleR,"SingleR leverages reference transcriptomic datasets of pure cell types to infer the cell of origin of each of the single cells independently",GPL-3.0,"Classification, Visualisation"
scran,R,"10.1038/nbt.4091, 10.1101/165118, 10.1186/s13059-016-0947-7","2018-04-02, NA, 2016-04-27",2823,https://github.com/MarioniLab/scran,"This package implements a variety of low-level analyses of single-cell RNA-seq data. Methods are provided for normalization of cell-specific biases, pool-based norms to estimate size factors, assignment of cell cycle phase, and detection of highly variable and significantly correlated genes.",GPL-3.0,"Cell Cycle, Integration, Interactive, Normalisation, Variable Genes, Visualisation"
BackSPIN,Python,10.1126/science.aaa1934,2015-02-19,2767,https://github.com/linnarsson-lab/BackSPIN,"Biclustering algorithm developed taking into account intrinsic features of single-cell RNA-seq experiments.",BSD-2-Clause,"Clustering, Gene Filtering"
DoubletFinder,R,"10.1016/j.cels.2019.03.003, 10.1101/352484","2019-04, NA",2475,https://github.com/chris-mcginnis-ucsf/DoubletFinder,"DoubletFinder is an R package that predicts doublets in single-cell RNA sequencing data.",CC0-1.0,"Clustering, Dimensionality Reduction, Quality Control"
MAST,R,"10.1101/020842, 10.1186/s13059-015-0844-5","NA, 2015-12-10",2360,https://github.com/RGLab/MAST,"Model-based Analysis of Single-cell Transcriptomics (MAST) fits a two-part, generalized linear models that are specially adapted for bimodal and/or zero-inflated single cell gene expression data.",GPL-2.0-or-later,"Differential Expression, Gene Networks, Gene Sets, Normalisation, Quality Control"
Rsubread,R,"10.1093/nar/gkz114, 10.1101/377762","2019-02-20, NA",2141,,"Alignment, quantification and analysis of second and third generation sequencing data",GPL-3.0,"Alignment, Quantification"
slingshot,R,"10.1101/128843, 10.1186/s12864-018-4772-0","NA, 2018-06-19",2046,https://github.com/kstreet13/slingshot,"Functions for identifying and characterizing continuous developmental trajectories in single-cell sequencing data.",Artistic-2.0,"Dimensionality Reduction, Ordering, Visualisation"
scVelo,Python,"10.1038/s41587-020-0591-3, 10.1101/820936","2020-08-03, NA",2045,https://github.com/theislab/scvelo,"scVelo is a scalable toolkit for estimating and analyzing RNA velocities in single cells using dynamical modeling.",BSD-3-Clause,"Gene Filtering, Normalisation, Ordering, Visualisation"
batchelor,R,"10.1038/nbt.4091, 10.1101/165118","2018-04-02, NA",1895,https://github.com/LTLA/batchelor,"Implements a variety of methods for batch correction of single-cell (RNA sequencing) data.",GPL-3.0,Integration
Scrublet,Python,"10.1016/j.cels.2018.11.005, 10.1101/357368","2019-04, NA",1712,https://github.com/AllonKleinLab/scrublet,"Single-Cell Remover of Doublets. Python code for identifying doublets in single-cell RNA-seq data.",MIT,"Quality Control"
RaceID,R/C++,"10.1016/j.stem.2016.05.010, 10.1038/nature14966, 10.1038/s41592-019-0632-3, 10.1101/2022.08.04.502776, 10.1186/s13059-023-02974-1","2016-08, 2015-08-19, 2019-11-18, NA, 2023-06-23",1671,https://github.com/dgrun/RaceID3_StemID2_package,"RaceID is a clustering algorithm for the identification of cell types from single-cell RNA-sequencing data. It was specifically designed for the detection of rare cells which correspond to outliers in conventional clustering methods.",GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Imputation, Integration, Marker Genes, Ordering, Rare Cells, Stem Cells, Visualisation"
MiXCR,Java/Kotlin,"10.1038/nbt.3979, 10.1038/nmeth.3364","2017-10-11, 2015-04-29",1632,https://github.com/milaboratory/mixcr,"MiXCR is an ultimate software platform for analysis of Next-Generation Sequencing (NGS) data for immune profiling. It supports all kinds of single cell platforms and technologies for immune profiling, including commercial vendors such as 10x Genomics or BD Rhapsody and any custom protocol (droplet-based, plate-based, combinatorial barcoding etc.). Check more at https://docs.milaboratories.com.",Custom,"Alignment, Allele Specific, Assembly, Clustering, Immune, UMIs"
UMI-tools,Python,"10.1101/051755, 10.1101/gr.209601.116","NA, 2017-01-18",1629,https://github.com/CGATOxford/UMI-tools,"This repository contains tools for dealing with Unique Molecular Identifiers (UMIs)/Random Molecular Tags (RMTs).",MIT,"Quantification, UMIs"
SCDE,R,"10.1038/nmeth.2967, 10.1038/nmeth.3734, 10.1101/026948","2014-05-18, 2016-01-18, NA",1522,https://github.com/hms-dbmi/scde,"Differential expression using error models and overdispersion-based identification of important gene sets.",'-,"Differential Expression, Gene Sets, Visualisation"
Scater,R,"10.1093/bioinformatics/btw777, 10.1101/069633","2017-01-14, NA",1481,https://github.com/Alanocallaghan/scater,"A collection of tools for various analyses of single-cell RNA-seq data with a focus on quality control and visualisation",GPL-3.0,"Dimensionality Reduction, Quality Control, Visualisation"
scuttle,R/C++,"10.1093/bioinformatics/btw777, 10.1101/069633","2017-01-14, NA",1481,https://github.com/LTLA/scuttle,"Provides basic utility functions for performing single-cell analyses, focusing on simple normalization, quality control and data transformations",GPL-3.0,"Normalisation, Quality Control"
MAGIC,Python/R/MATLAB,"10.1016/j.cell.2018.05.061, 10.1101/111591","2018-07, NA",1394,https://github.com/KrishnaswamyLab/MAGIC,"Markov Affinity-based Graph Imputation of Cells (MAGIC)",GPL-2.0,"Dimensionality Reduction, Imputation, Interactive, Quality Control, Visualisation"
MIMOSCA,Python,10.1016/j.cell.2016.11.038,2016-12,1319,https://github.com/asncd/MIMOSCA,"Multiple Input Multiple Output Single Cell Analysis",MIT,"Classification, Integration, Perturbations"
MOFA,R/Python,"10.1101/217554, 10.1101/837104, 10.1186/s13059-020-02015-1, 10.15252/msb.20178124","NA, NA, 2020-05-11, 2018-06-20",1289,https://github.com/bioFAM/MOFA,"MOFA is a factor analysis model that provides a general framework for the integration of multi-omic data sets in a completely unsupervised fashion.",LGPL-3.0,"Dimensionality Reduction, Integration, Visualisation"
dynverse,R,"10.1038/s41587-019-0071-9, 10.1101/276907","2019-04-01, NA",1277,https://github.com/dynverse/dynverse,"dynverse is a collection of R packages aimed at supporting the trajectory inference (TI) community on multiple levels: end-users who want to apply TI on their dataset of interest, and developers who seek to easily quantify the performance of their TI method and compare it to other TI methods.",GPL-3.0,"Normalisation, Ordering, Simulation, Visualisation"
SC3,R,"10.1038/nmeth.4236, 10.1101/036558","2017-03-27, NA",1274,https://github.com/hemberg-lab/sc3,"SC3 is an interactive tool for the unsupervised clustering of cells from single cell RNA-Seq experiments.",GPL-3.0,"Clustering, Interactive"
nichenetr,R,"10.1038/s41592-019-0667-5, arxiv/2404.16358","2019-12-09, NA",1267,https://github.com/saeyslab/nichenetr,"NicheNet uses human or mouse gene expression data of interacting cells as input and combines this with a prior model that integrates existing knowledge on ligand-to-target signaling paths.",GPL-3.0,"Gene Networks, Visualisation"
bseqsc,R,10.1016/j.cels.2016.08.011,2016-10,1196,https://github.com/shenorrLab/bseqsc,"BSeq-sc is a bioinformatics analysis pipeline that leverages single-cell sequencing data to estimate cell type proportion and cell type-specific gene expression differences from RNA-seq data from bulk tissue samples.",GPL-2.0-or-later,"Differential Expression, Integration, Visualisation"
LIGER,R/C++,"10.1016/j.cell.2019.05.006, 10.1038/s41467-022-28431-4, 10.1038/s41596-020-0391-8, 10.1101/2020.04.07.029546, 10.1101/2021.04.09.439160, 10.1101/459891","2019-06, 2022-02-09, 2020-10-12, NA, NA, NA",1184,https://github.com/welch-lab/liger,"LIGER (Linked Inference of Genomic Experimental Relationships)",GPL-3.0,"Dimensionality Reduction, Integration, Marker Genes, Normalisation, Variable Genes, Visualisation"
DPT,R/MATLAB,"10.1038/nmeth.3971, 10.1101/041384","2016-08-29, NA",1135,http://www.helmholtz-muenchen.de/icb/research/groups/machine-learning/projects/dpt/index.html,"Our DPT software implementations make it possible to reconstruct the developmental progression of cells and identify transient or metastable states, branching decisions and differentiation endpoints.",GPL-3.0,"Expression Patterns, Ordering, Visualisation"
scLVM,R/Python,10.1038/nbt.3102,2015-01-19,1061,https://github.com/PMBio/scLVM,"scLVM is a modelling framework for single-cell RNA-seq data that can be used to dissect the observed heterogeneity into different sources, thereby allowing for the correction of confounding sources of variation. scLVM was primarily designed to account for cell-cycle induced variations in single-cell RNA-seq data where cell cycle is the primary soure of variability.",Apache-2.0,"Cell Cycle, Normalisation, Variable Genes, Visualisation"
DropletUtils,R,"10.1038/s41467-018-05083-x, 10.1101/177048, 10.1101/234872, 10.1186/s13059-019-1662-y","2018-07-10, NA, NA, 2019-03-22",1021,https://github.com/MarioniLab/DropletUtils,"Package for handling droplet-based single-cell RNA-seq data",GPL-3.0,"Quality Control, Simulation, UMIs"
SoupX,R,"10.1093/gigascience/giaa151, 10.1101/303727","2020-12-26, NA",949,https://github.com/constantAmateur/SoupX,"An R package for the estimation and removal of cell free mRNA contamination in droplet based single cell RNA-seq data.",GPL-2.0,"Quantification, Visualisation"
SPADE,R,"10.1038/nbt.1991, 10.1038/nprot.2016.066","2011-10-02, 2016-06-16",946,https://github.com/nolanlab/spade,"Visualization and cellular hierarchy inference of single-cell data using SPADE.",GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Marker Genes, Ordering, Visualisation"
scMCA,R,10.1016/j.cell.2018.02.001,2018-02,935,https://github.com/ggjlab/scMCA,"Accurately defines cell types based on single-cell digital expression.",GPL-3.0,"Classification, Visualisation"
demuxlet,C++,"10.1038/nbt.4042, 10.1101/118778","2017-12-11, NA",895,https://github.com/statgen/demuxlet,"Genetic multiplexing of barcoded single cell RNA-seq",Apache-2.0,"Quality Control, UMIs, Variants"
RCA,R,10.1038/ng.3818,2017-03-20,883,https://github.com/GIS-SP-Group/RCA,"RCA, short for Reference Component Analysis, is an R package for robust clustering analysis of single cell RNA sequencing data (scRNAseq).",MIT,"Clustering, Visualisation"
ZINB-WaVE,R,"10.1038/s41467-017-02554-5, 10.1101/125112, 10.1101/157982, 10.1101/250126, 10.1186/s13059-018-1406-4","2018-01-18, NA, NA, NA, 2018-02-26",771,https://github.com/drisso/zinbwave,"Zero-inflated Negative Binomial based Wanted Variation Extraction (ZINB-WaVE)",'-,"Dimensionality Reduction, Normalisation, Simulation"
scIB,Python,"10.1038/s41592-021-01336-8, 10.1101/2020.05.22.111161","2021-12-23, NA",765,https://github.com/theislab/scib,"A Python pipeline for benchmarking scRNA-seq integration methods",MIT,Integration
DCA,Python,"10.1038/s41467-018-07931-2, 10.1101/300681","2019-01-23, NA",760,https://github.com/theislab/dca,"A deep count autoencoder network to denoise scRNA-seq data and remove the dropout effect by taking the count structure, overdispersed nature and sparsity of the data into account using a deep autoencoder with zero-inflated negative binomial (ZINB) loss function.",Apache-2.0,Imputation
PHATE,Python/MATLAB/R,"10.1038/s41587-019-0336-3, 10.1101/120378","2019-12-03, NA",751,https://github.com/KrishnaswamyLab/PHATE,"PHATE is a tool for visualizing high dimensional single-cell data with natural progressions or trajectories.",GPL-2.0,"Dimensionality Reduction, Visualisation"
STEMNET,R,10.1038/ncb3493,2017-03-20,742,https://git.embl.de/velten/STEMNET,"We first use hierarchical clustering to identify the most mature cell populations; we then use these populations as a training set to classify priming in the less mature populations.",GPL-3.0,"Ordering, Visualisation"
SIMLR,R/MATLAB/Python/C++,"10.1002/pmic.201700232, 10.1038/nmeth.4207, 10.1101/052225, 10.1101/118901","2018-01-24, 2017-03-06, NA, NA",722,https://github.com/BatzoglouLabSU/SIMLR,"Single-cell Interpretation via Multi-kernel LeaRning which learns an appropriate distance metric from the data for dimension reduction, clustering and visualization.",GPL-3.0,"Clustering, Dimensionality Reduction, Visualisation"
Splatter,R,"10.1101/133173, 10.1101/2021.06.17.448806, 10.1186/s13059-017-1305-0, 10.1186/s13059-021-02546-1","NA, NA, 2017-09-12, 2021-12",717,https://github.com/Oshlack/splatter,"Splatter is a package for the simple simulation of single-cell RNA-seq count data.",GPL-3.0,"Simulation, Visualisation"
URD,R,10.1126/science.aar3131,2018-04-26,707,https://github.com/farrellja/URD,"URD is an R package designed for reconstructing transcriptional trajectories underlying specification or differentiation processes in the form of a branching tree, using single cell RNA-sequencing data.",GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Marker Genes, Normalisation, Ordering, Variable Genes, Visualisation"
scumi,Python/R,"10.1038/s41587-020-0465-8, 10.1101/632216","2020-04-06, NA",706,https://bitbucket.org/jerry00/scumi-dev,"scumi is a flexible Python package to process fastq files generated from different single-cell RNA-sequencing (scRNA-seq) protocols to produce a gene-cell sparse expression matrix for downstream analyses,",'-,"Alignment, Quantification, UMIs"
scanorama,Python,"10.1038/s41587-019-0113-3, 10.1101/371179","2019-05-06, NA",700,https://github.com/brianhie/scanorama,"Scanorama enables batch-correction and integration of heterogeneous scRNA-seq datasets",MIT,Integration
SCope,Python,"10.1016/j.cell.2018.05.057, 10.1101/237420","2018-08, NA",698,https://github.com/aertslab/SCope,"SCope: Visualization of large-scale and high dimensional single cell data",GPL-3.0,"Clustering, Gene Sets, Interactive, Visualisation"
cell2location,Python,"10.1038/s41587-021-01139-4, 10.1101/2020.11.15.378125","2022-01-13, NA",692,https://github.com/BayraktarLab/cell2location,"Cell2location maps the spatial distribution of cell types by integrating single-cell RNA-seq (scRNA-seq) and multi-cell spatial transcriptomic data from a given tissue",Apache-2.0,"Classification, Integration"
bbknn,Python,"10.1093/bioinformatics/btz625, 10.1101/397042","2019-08-10, NA",679,https://github.com/Teichlab/bbknn,"BBKNN is a fast and intuitive batch effect removal tool for direct use in the scanpy workflow.",MIT,"Integration, Visualisation"
scMC,R,10.1186/s13059-020-02238-2,2021-01-04,663,https://github.com/amsszlh/scMC,"scMC is an R toolkit for integrating and comparing multiple single cell genomic datasets from single cell RNA-seq and ATAC-seq experiments across different conditions, time points and tissues",GPL-3.0,"Clustering, Integration, Marker Genes, Visualisation"
SAVER,R,"10.1038/s41592-018-0033-z, 10.1101/138677","2018-06-25, NA",613,https://github.com/mohuangx/SAVER,"SAVER (Single-cell Analysis Via Expression Recovery) implements a regularized regression prediction and empirical Bayes method to recover the true gene expression profile in noisy and sparse single-cell RNA-seq data.",GPL-2.0,Imputation
dandelion,Python,"10.1038/s41587-023-01734-7, 10.1038/s41591-021-01329-2, 10.1101/2021.01.13.21249725, 10.1101/2022.11.18.517068","2023-04-13, 2021-04-20, NA, NA",609,https://github.com/zktuong/dandelion,"dandelion is a python package for analyzing single cell BCR/V(D)J data from 10x Genomics 5' kit",AGPL-3.0,"Immune, Visualisation"
scmap,R,"10.1038/nmeth.4644, 10.1101/150292","2018-04-02, NA",609,https://github.com/hemberg-lab/scmap,"scmap is a method for projecting cells from a scRNA-seq experiment on to the cell-types identified in a different experiment.",GPL-3.0,Classification
MuSiC,R,"10.1038/s41467-018-08023-x, 10.1101/354944","2019-01-22, NA",599,https://github.com/xuranw/MuSiC,"MuSiC is a deconvolution method that utilizes cross-subject scRNA-seq to estimate cell type proportions in bulk RNA-seq data.",GPL-3.0,"Integration, Simulation, Visualisation"
Cellity,R,10.1186/s13059-016-0888-1,2016-02-17,581,https://github.com/teichlab/cellity,"Classification of low quality cells in scRNA-seq data using R",GPL-2.0-or-later,"Quality Control"
bustools,C++,"10.1038/s41587-021-00870-2, 10.1093/bioinformatics/btz279, 10.1101/2023.11.21.568164, 10.1101/472571, 10.1101/673285","2021-04-01, 2019-05-09, NA, NA, NA",557,https://github.com/BUStools/bustools,"bustools is a program for manipulating BUS files for single cell RNA-Seq datasets",BSD-2-Clause,"Quantification, UMIs"
destiny,R,"10.1093/bioinformatics/btv715, 10.1101/023309","2015-12-14, NA",548,https://www.helmholtz-muenchen.de/icb/research/groups/quantitative-single-cell-dynamics/software/destiny/index.html,"Diffusion maps for single-cell RNA-seq.",GPL-1.0,"Dimensionality Reduction, Visualisation"
ZIFA,Python,10.1186/s13059-015-0805-z,2015-11-02,547,https://github.com/epierson9/ZIFA,"Zero-inflated dimensionality reduction algorithm for single-cell data.",MIT,"Dimensionality Reduction"
Libra,R,"10.1038/s41467-021-25960-2, 10.1101/2021.03.12.435024","2021-09-28, NA",545,https://github.com/neurorestore/Libra,"Libra is an R package to perform differential expression on single-cell data. Libra implements a total of 22 unique differential expression methods that can all be accessed from one function.",MIT,"Differential Expression"
wot,Python/Java,"10.1016/j.cell.2019.01.006, 10.1101/191056","2019-02, NA",533,https://github.com/broadinstitute/wot,"Waddington-OT uses time-course data to infer how the probability distribution of cells in gene-expression space evolves over time, by using the mathematical approach of Optimal Transport (OT).",BSD-3-Clause,"Ordering, Visualisation"
Wishbone,Python,10.1038/nbt.3569,2016-05-02,532,https://github.com/ManuSetty/wishbone,"Wishbone is an algorithm to align single cells from differentiation systems with bifurcating branches.",GPL-2.0,"Expression Patterns, Interactive, Ordering, Visualisation"
TSCAN,R,10.1093/nar/gkw430,2016-05-13,529,https://github.com/zji90/TSCAN,"Pseudo-time reconstruction and evaluation in single-cell RNA-seq analysis.",GPL-2.0-or-later,"Clustering, Interactive, Marker Genes, Ordering, Visualisation"
BEELINE,Python/Docker,"10.1038/s41592-019-0690-6, 10.1101/642926","2020-01-06, NA",528,https://github.com/murali-group/Beeline,"BEELINE: Benchmarking gEnE reguLatory network Inference from siNgle-cEll transcriptomic data",GPL-3.0,"Gene Networks"
CellTypist,Python,"10.1101/2023.05.01.538994, 10.1126/science.abl5197","NA, 2022-05-13",526,https://github.com/Teichlab/celltypist,"CellTypist is an automated tool for cell type classification, harmonisation, and integration",MIT,"Classification, Integration, Visualisation"
Palantir,Python,"10.1038/s41587-019-0068-4, 10.1101/385328","2019-03-21, NA",518,https://github.com/dpeerlab/Palantir,"Palantir is an algorithm to align cells along differentiation trajectories. Palantir models differentiation as a stochastic process where stem cells differentiate to terminally differentiated cells by a series of steps through a low dimensional phenotypic manifold.",GPL-2.0,"Dimensionality Reduction, Expression Patterns, Normalisation, Ordering, Quality Control, Visualisation"
AltAnalyze,Python,"10.1038/nature19348, 10.1093/nar/gkz789, 10.1101/412080","2016-08-31, 2019-09-16, NA",516,https://github.com/nsalomonis/altanalyze,"AltAnalyze is a multi-functional and easy-to-use software package for automated single-cell and bulk gene and splicing analyses.",Apache-2.0,"Alternative Splicing, Cell Cycle, Classification, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Interactive, Marker Genes, Normalisation, Quantification, Visualisation"
umis,Python,"10.1038/nmeth.4220, 10.1101/073692","2017-03-06, NA",508,https://github.com/vals/umis,"umis provides tools for estimating expression in RNA-Seq data which performs sequencing of end tags of trancsript, and incorporate molecular tags to correct for amplification bias.",MIT,"Quantification, UMIs"
scImpute,R,"10.1038/s41467-018-03405-7, 10.1101/141598","2018-03-08, NA",505,https://github.com/Vivianstats/scImpute,"scImpute is developed to accurately and robustly impute the dropout values in scRNA-seq data",GPL-1.0,Imputation
CellRank,Python,"10.1038/s41592-021-01346-6, 10.1101/2020.10.19.345983, 10.1101/2023.07.19.549685","2022-01-13, NA, NA",500,https://github.com/theislab/cellrank,"CellRank is a toolkit to uncover cellular dynamics based on scRNA-seq data with RNA velocity annotation",BSD-3-Clause,"Ordering, Visualisation"
SNN-Cliq,MATLAB/Python,10.1093/bioinformatics/btv088,2015-02-11,500,http://bioinfo.uncc.edu/SNNCliq/,"SNN-Cliq is a clustering method designed for high dimensional gene expression data, e.g. single-cell transcriptome data.`",'-,Clustering
Tangram,Python,"10.1038/s41592-021-01264-7, 10.1101/2020.08.29.272831","2021-10-28, NA",498,https://github.com/broadinstitute/Tangram,"Tangram is a Python package, written in PyTorch, for mapping single-cell (or single-nucleus) gene expression data onto spatial gene expression data",BSD-3-Clause,"Integration, Visualisation"
MOFA2,R/Python,"10.1101/837104, 10.1186/s13059-020-02015-1","NA, 2020-05-11",487,https://github.com/bioFAM/MOFA2,"MOFA is a factor analysis model that provides a general framework for the integration of multi-omic data sets in an unsupervised fashion.",LGPL-3.0,"Clustering, Dimensionality Reduction, Imputation, Integration, Visualisation"
celltalker,R,10.1016/j.immuni.2019.11.014,2020-01,476,https://github.com/arc85/celltalker,"The goal of celltalker is to infer putative ligand and receptor interactions from single-cell RNAseq data",MIT,"Gene Networks, Visualisation"
dragonsc,R,10.1016/j.immuni.2019.11.014,2020-01,476,https://github.com/arc85/dragonsc,"DeteRministic Annealing Gaussian mixture mOdels for clusteriNg Single-Cell data",CC0-1.0,Clustering
singleseqgset,R,10.1016/j.immuni.2019.11.014,2020-01,476,https://github.com/arc85/singleseqgset,"singleseqgset is a package for gene set enrichment analysis for single-cell RNAseq data",CC0-1.0,"Gene Sets"
CopyKAT,R,10.1038/s41587-020-00795-2,2021-01-18,469,https://github.com/navinlabcode/copykat,"Inference of genomic copy number and subclonal structure of human tumors from high-throughput single cell RNAseq data",GPL-2.0,Variants
NetworkInference,Julia,"10.1016/j.cels.2017.08.014, 10.1101/082099","2017-09, NA",463,https://github.com/Tchanders/NetworkInference.jl,"NetworkInference is a package for inferring (undirected) networks, given a set of measurements for each node.",MIT,"Gene Networks"
UCell,R,"10.1016/j.csbj.2021.06.043, 10.1101/2021.04.13.439670","2021, NA",453,https://github.com/carmonalab/UCell,"UCell is an R package for calculating gene signatures in single-cell datasets",GPL-3.0,"Gene Sets"
scArches,Python,"10.1038/s41556-022-01072-x, 10.1038/s41587-021-01001-7, 10.1038/s41592-023-02035-2, 10.1101/2020.07.16.205997, 10.1101/2022.02.05.479217, 10.1101/2022.11.28.517803","2023-02-02, 2021-08-30, 2023-10-09, NA, NA, NA",451,https://github.com/theislab/scarches,"scArches is a package to integrate newly produced single-cell datasets into integrated reference atlases",BSD-3-Clause,Integration
